,Point-of-Sale_ID,week,Units
11095,56,2016-10-03,3409.0
50058,250,2016-10-03,2748.0
34782,174,2016-10-03,1174.0
25536,128,2016-10-03,2139.0
37194,186,2016-10-03,1397.0
48651,243,2016-10-03,339.0
34983,175,2016-10-03,1562.0
56088,280,2016-10-03,5585.0
38400,192,2016-10-03,2429.0
65937,329,2016-10-03,3379.0
15919,80,2016-10-03,4167.0
76992,384,2016-10-03,1533.0
3055,16,2016-10-03,3195.0
25938,130,2016-10-03,2709.0
44832,224,2016-10-03,1144.0
47445,237,2016-10-03,719.0
52269,261,2016-10-03,1534.0
80208,400,2016-10-03,1583.0
72570,362,2016-10-03,4058.0
18934,95,2016-10-03,1887.0
66138,330,2016-10-03,1321.0
49656,248,2016-10-03,1451.0
34581,173,2016-10-03,1461.0
10693,54,2016-10-03,2399.0
19707,99,2016-10-03,2297.0
56490,282,2016-10-03,5127.0
6472,33,2016-10-03,1665.0
11899,60,2016-10-03,3635.0
13909,70,2016-10-03,1228.0
5467,28,2016-10-03,1426.0
37998,190,2016-10-03,1974.0
7075,36,2016-10-03,1955.0
58701,293,2016-10-03,1114.0
844,5,2016-10-03,1963.0
37395,187,2016-10-03,996.0
33576,168,2016-10-03,2110.0
64932,324,2016-10-03,2565.0
63726,318,2016-10-03,1263.0
72369,361,2016-10-03,2816.0
56289,281,2016-10-03,1561.0
57897,289,2016-10-03,2697.0
66339,331,2016-10-03,1958.0
60510,302,2016-10-03,1699.0
41616,208,2016-10-03,2519.0
38802,194,2016-10-03,2714.0
73977,369,2016-10-03,1256.0
24933,125,2016-10-03,3133.0
31164,156,2016-10-03,1729.0
73575,367,2016-10-03,3791.0
40209,201,2016-10-03,2573.0
56691,283,2016-10-03,3387.0
80007,399,2016-10-03,3419.0
69957,349,2016-10-03,1868.0
33375,167,2016-10-03,582.0
20310,102,2016-10-03,3256.0
18733,94,2016-10-03,974.0
26139,131,2016-10-03,3320.0
8281,42,2016-10-03,4581.0
3859,20,2016-10-03,1323.0
18331,92,2016-10-03,5603.0
72168,360,2016-10-03,4571.0
12100,61,2016-10-03,3142.0
43626,218,2016-10-03,2273.0
81213,405,2016-10-03,3478.0
24330,122,2016-10-03,2051.0
65133,325,2016-10-03,2412.0
17929,90,2016-10-03,1817.0
241,2,2016-10-03,1918.0
14512,73,2016-10-03,3413.0
13306,67,2016-10-03,2647.0
442,3,2016-10-03,2881.0
15718,79,2016-10-03,3775.0
79605,397,2016-10-03,1792.0
3256,17,2016-10-03,3475.0
55284,276,2016-10-03,3246.0
59706,298,2016-10-03,1288.0
45435,227,2016-10-03,1749.0
73776,368,2016-10-03,2397.0
26943,135,2016-10-03,2647.0
52470,262,2016-10-03,1481.0
5266,27,2016-10-03,3186.0
32571,163,2016-10-03,1826.0
65736,328,2016-10-03,1342.0
67344,336,2016-10-03,974.0
54882,274,2016-10-03,1650.0
71766,358,2016-10-03,3289.0
24531,123,2016-10-03,1714.0
7678,39,2016-10-03,1433.0
69756,348,2016-10-03,3231.0
3457,18,2016-10-03,2445.0
67545,337,2016-10-03,1154.0
30561,153,2016-10-03,978.0
50661,253,2016-10-03,1154.0
71967,359,2016-10-03,4867.0
55083,275,2016-10-03,3000.0
27144,136,2016-10-03,3416.0
59103,295,2016-10-03,1206.0
62520,312,2016-10-03,1848.0
59505,297,2016-10-03,3112.0
8683,44,2016-10-03,3425.0
50460,252,2016-10-03,4132.0
46038,230,2016-10-03,1339.0
22722,114,2016-10-03,1660.0
19908,100,2016-10-03,3772.0
4060,21,2016-10-03,2028.0
72771,363,2016-10-03,1229.0
20511,103,2016-10-03,5340.0
8080,41,2016-10-03,3355.0
61515,307,2016-10-03,656.0
66942,334,2016-10-03,2926.0
14311,72,2016-10-03,4906.0
60912,304,2016-10-03,2901.0
20109,101,2016-10-03,1673.0
76188,380,2016-10-03,2035.0
8482,43,2016-10-03,2498.0
6874,35,2016-10-03,2066.0
23526,118,2016-10-03,3077.0
44631,223,2016-10-03,2125.0
40,1,2016-10-03,3032.0
31968,160,2016-10-03,1560.0
66741,333,2016-10-03,3245.0
55887,279,2016-10-03,2049.0
72972,364,2016-10-03,1987.0
5869,30,2016-10-03,3051.0
80811,403,2016-10-03,1401.0
58902,294,2016-10-03,1521.0
78198,390,2016-10-03,2939.0
46440,232,2016-10-03,2327.0
29154,146,2016-10-03,2644.0
64128,320,2016-10-03,590.0
26742,134,2016-10-03,1197.0
77193,385,2016-10-03,1660.0
62922,314,2016-10-03,1811.0
47043,235,2016-10-03,3156.0
59304,296,2016-10-03,3570.0
67143,335,2016-10-03,1531.0
74178,370,2016-10-03,1565.0
36993,185,2016-10-03,3009.0
61314,306,2016-10-03,2070.0
30762,154,2016-10-03,1040.0
46641,233,2016-10-03,1782.0
55485,277,2016-10-03,3045.0
50259,251,2016-10-03,3373.0
18130,91,2016-10-03,748.0
4864,25,2016-10-03,2188.0
35787,179,2016-10-03,1314.0
73374,366,2016-10-03,780.0
49455,247,2016-10-03,963.0
52068,260,2016-10-03,4182.0
55686,278,2016-10-03,2488.0
10492,53,2016-10-03,2100.0
42018,210,2016-10-03,3686.0
75786,378,2016-10-03,1466.0
41415,207,2016-10-03,2843.0
9487,48,2016-10-03,5296.0
10894,55,2016-10-03,1603.0
13507,68,2016-10-03,1469.0
28752,144,2016-10-03,1761.0
33978,170,2016-10-03,1536.0
74379,371,2016-10-03,1328.0
69354,346,2016-10-03,2669.0
16321,82,2016-10-03,1868.0
15316,77,2016-10-03,2865.0
16723,84,2016-10-03,1918.0
70560,352,2016-10-03,1707.0
41214,206,2016-10-03,2572.0
57294,286,2016-10-03,2072.0
77997,389,2016-10-03,3379.0
16522,83,2016-10-03,1731.0
32370,162,2016-10-03,1437.0
53073,265,2016-10-03,1665.0
51666,258,2016-10-03,1942.0
32772,164,2016-10-03,1331.0
15517,78,2016-10-03,5486.0
22119,111,2016-10-03,3200.0
11296,57,2016-10-03,3662.0
19305,97,2016-10-03,1181.0
57093,285,2016-10-03,2239.0
70761,353,2016-10-03,1868.0
29757,149,2016-10-03,1977.0
2653,14,2016-10-03,2244.0
63525,317,2016-10-03,805.0
53274,266,2016-10-03,1777.0
43224,216,2016-10-03,2405.0
5668,29,2016-10-03,2389.0
76791,383,2016-10-03,5236.0
77796,388,2016-10-03,3419.0
41013,205,2016-10-03,1442.0
61917,309,2016-10-03,1002.0
43425,217,2016-10-03,2593.0
78600,392,2016-10-03,3290.0
36189,181,2016-10-03,2176.0
53475,267,2016-10-03,1784.0
75987,379,2016-10-03,1981.0
68952,344,2016-10-03,906.0
44028,220,2016-10-03,1056.0
24732,124,2016-10-03,1272.0
49053,245,2016-10-03,2137.0
69153,345,2016-10-03,3076.0
32973,165,2016-10-03,1538.0
9889,50,2016-10-03,2551.0
13105,66,2016-10-03,2500.0
23325,117,2016-10-03,3971.0
29556,148,2016-10-03,2472.0
28350,142,2016-10-03,1785.0
49254,246,2016-10-03,1268.0
65535,327,2016-10-03,2180.0
80610,402,2016-10-03,1473.0
6271,32,2016-10-03,3436.0
81012,404,2016-10-03,4007.0
44229,221,2016-10-03,602.0
62721,313,2016-10-03,1022.0
60108,300,2016-10-03,1256.0
7477,38,2016-10-03,1397.0
64530,322,2016-10-03,2090.0
35586,178,2016-10-03,664.0
38601,193,2016-10-03,2672.0
28551,143,2016-10-03,1312.0
21918,110,2016-10-03,2643.0
39808,199,2016-10-10,1718.0
23527,118,2016-10-10,2898.0
74983,374,2016-10-10,3255.0
75184,375,2016-10-10,910.0
48250,241,2016-10-10,2183.0
69154,345,2016-10-10,3473.0
37597,188,2016-10-10,2381.0
66742,333,2016-10-10,3853.0
55486,277,2016-10-10,3195.0
7880,40,2016-10-10,2116.0
61114,305,2016-10-10,1631.0
17126,86,2016-10-10,1754.0
64531,322,2016-10-10,2137.0
50863,254,2016-10-10,4549.0
68953,344,2016-10-10,966.0
28552,143,2016-10-10,1714.0
78400,391,2016-10-10,3790.0
40813,204,2016-10-10,2558.0
35989,180,2016-10-10,3330.0
31567,158,2016-10-10,1177.0
82018,409,2016-10-10,2082.0
24130,121,2016-10-10,1613.0
30763,154,2016-10-10,1242.0
48049,240,2016-10-10,2912.0
30160,151,2016-10-10,3491.0
49255,246,2016-10-10,1302.0
22522,113,2016-10-10,2873.0
72973,364,2016-10-10,2228.0
50260,251,2016-10-10,3939.0
45034,225,2016-10-10,1171.0
65335,326,2016-10-10,1487.0
42019,210,2016-10-10,4415.0
41818,209,2016-10-10,4491.0
62722,313,2016-10-10,1137.0
9890,50,2016-10-10,2847.0
21718,109,2016-10-10,2280.0
71566,357,2016-10-10,2938.0
13106,66,2016-10-10,2634.0
4865,25,2016-10-10,2352.0
49858,249,2016-10-10,2232.0
56893,284,2016-10-10,2697.0
63124,315,2016-10-10,1257.0
42421,212,2016-10-10,2898.0
33778,169,2016-10-10,1442.0
48451,242,2016-10-10,1939.0
9086,46,2016-10-10,2051.0
35788,179,2016-10-10,1513.0
24733,124,2016-10-10,1295.0
76390,381,2016-10-10,2126.0
71164,355,2016-10-10,2929.0
644,4,2016-10-10,3957.0
64330,321,2016-10-10,2040.0
31969,160,2016-10-10,1805.0
54280,271,2016-10-10,2505.0
27949,140,2016-10-10,3217.0
44230,221,2016-10-10,671.0
67747,338,2016-10-10,3056.0
34381,172,2016-10-10,2741.0
53275,266,2016-10-10,2245.0
77194,385,2016-10-10,1826.0
74380,371,2016-10-10,1453.0
14111,71,2016-10-10,3397.0
80611,402,2016-10-10,1709.0
61918,309,2016-10-10,1241.0
51265,256,2016-10-10,2283.0
9488,48,2016-10-10,5403.0
58903,294,2016-10-10,1684.0
1850,10,2016-10-10,1441.0
2252,12,2016-10-10,2227.0
32773,164,2016-10-10,1425.0
20512,103,2016-10-10,5872.0
32371,162,2016-10-10,1713.0
76993,384,2016-10-10,1521.0
51868,259,2016-10-10,1131.0
46642,233,2016-10-10,2056.0
14714,74,2016-10-10,3233.0
52672,263,2016-10-10,2991.0
36391,182,2016-10-10,2676.0
11096,56,2016-10-10,3657.0
73777,368,2016-10-10,2459.0
80410,401,2016-10-10,2442.0
5669,29,2016-10-10,2674.0
41,1,2016-10-10,3042.0
34180,171,2016-10-10,1318.0
74581,372,2016-10-10,1945.0
9689,49,2016-10-10,4343.0
18533,93,2016-10-10,2174.0
57697,288,2016-10-10,3634.0
62923,314,2016-10-10,2072.0
46039,230,2016-10-10,1501.0
59707,298,2016-10-10,1470.0
71365,356,2016-10-10,4470.0
68350,341,2016-10-10,2289.0
36994,185,2016-10-10,3369.0
31366,157,2016-10-10,890.0
74179,370,2016-10-10,1357.0
26341,132,2016-10-10,2307.0
21115,106,2016-10-10,3968.0
77797,388,2016-10-10,3870.0
5066,26,2016-10-10,2626.0
42823,214,2016-10-10,1589.0
59506,297,2016-10-10,3414.0
11297,57,2016-10-10,4241.0
67144,335,2016-10-10,1484.0
74782,373,2016-10-10,806.0
73174,365,2016-10-10,817.0
60712,303,2016-10-10,1803.0
37798,189,2016-10-10,1806.0
54682,273,2016-10-10,3778.0
54079,270,2016-10-10,2758.0
45637,228,2016-10-10,1773.0
57094,285,2016-10-10,2292.0
22120,111,2016-10-10,3427.0
57496,287,2016-10-10,4005.0
30964,155,2016-10-10,1363.0
20914,105,2016-10-10,898.0
21919,110,2016-10-10,3123.0
28954,145,2016-10-10,1360.0
58099,290,2016-10-10,1980.0
29155,146,2016-10-10,2800.0
29356,147,2016-10-10,2310.0
60913,304,2016-10-10,3378.0
77596,387,2016-10-10,3855.0
1247,7,2016-10-10,1411.0
46843,234,2016-10-10,1029.0
17327,87,2016-10-10,2923.0
68149,340,2016-10-10,2704.0
25336,127,2016-10-10,1505.0
41215,206,2016-10-10,2613.0
6875,35,2016-10-10,2153.0
51667,258,2016-10-10,2078.0
79807,398,2016-10-10,3380.0
52069,260,2016-10-10,4363.0
1046,6,2016-10-10,2050.0
80812,403,2016-10-10,1357.0
26743,134,2016-10-10,1390.0
64129,320,2016-10-10,701.0
61516,307,2016-10-10,728.0
75586,377,2016-10-10,1814.0
79204,395,2016-10-10,1220.0
22924,115,2016-10-10,3283.0
78199,390,2016-10-10,3209.0
8081,41,2016-10-10,3316.0
36592,183,2016-10-10,1413.0
28351,142,2016-10-10,1972.0
25537,128,2016-10-10,2333.0
18332,92,2016-10-10,6055.0
24331,122,2016-10-10,2376.0
3860,20,2016-10-10,1457.0
72169,360,2016-10-10,4791.0
46441,232,2016-10-10,2763.0
63727,318,2016-10-10,1400.0
16121,81,2016-10-10,1699.0
24934,125,2016-10-10,2926.0
30361,152,2016-10-10,1224.0
40411,202,2016-10-10,1770.0
26542,133,2016-10-10,2565.0
23929,120,2016-10-10,2906.0
41014,205,2016-10-10,1543.0
14312,72,2016-10-10,5321.0
66943,334,2016-10-10,3086.0
82219,410,2016-10-10,4605.0
11699,59,2016-10-10,3582.0
35587,178,2016-10-10,757.0
61315,306,2016-10-10,2189.0
34984,175,2016-10-10,1810.0
12503,63,2016-10-10,3102.0
54481,272,2016-10-10,6040.0
10493,53,2016-10-10,2382.0
22723,114,2016-10-10,2033.0
23125,116,2016-10-10,1780.0
59908,299,2016-10-10,2431.0
15920,80,2016-10-10,4453.0
18131,91,2016-10-10,856.0
81817,408,2016-10-10,2167.0
65938,329,2016-10-10,3580.0
21517,108,2016-10-10,1624.0
77998,389,2016-10-10,3429.0
77395,386,2016-10-10,1410.0
44431,222,2016-10-10,1666.0
11498,58,2016-10-10,2852.0
76189,380,2016-10-10,2328.0
66541,332,2016-10-10,940.0
81013,404,2016-10-10,4089.0
48853,244,2016-10-10,1431.0
16322,82,2016-10-10,2136.0
29758,149,2016-10-10,2112.0
10895,55,2016-10-10,1582.0
63325,316,2016-10-10,1406.0
55888,279,2016-10-10,2431.0
40612,203,2016-10-10,1320.0
39406,197,2016-10-10,1725.0
59104,295,2016-10-10,1507.0
67948,339,2016-10-10,2300.0
69355,346,2016-10-10,2865.0
17528,88,2016-10-10,1601.0
2855,15,2016-10-10,2692.0
56089,280,2016-10-10,5986.0
21316,107,2016-10-10,2690.0
50059,250,2016-10-10,3253.0
81616,407,2016-10-10,3583.0
25738,129,2016-10-10,1458.0
64732,323,2016-10-10,2849.0
34783,174,2016-10-10,1357.0
8483,43,2016-10-10,2825.0
37195,186,2016-10-10,1464.0
55687,278,2016-10-10,2840.0
12704,64,2016-10-10,3609.0
48652,243,2016-10-10,465.0
45838,229,2016-10-10,1565.0
70561,352,2016-10-10,1895.0
15317,77,2016-10-10,3192.0
5870,30,2016-10-10,3335.0
27547,138,2016-10-10,2771.0
42622,213,2016-10-10,2156.0
49456,247,2016-10-10,864.0
20110,101,2016-10-10,2016.0
38401,192,2016-10-10,2753.0
51064,255,2016-10-10,2019.0
27748,139,2016-10-10,2781.0
19136,96,2016-10-10,1471.0
6674,34,2016-10-10,2096.0
31768,159,2016-10-10,2523.0
8885,45,2016-10-10,2899.0
73375,366,2016-10-10,772.0
14915,75,2016-10-10,2606.0
44632,223,2016-10-10,2162.0
29959,150,2016-10-10,1763.0
45235,226,2016-10-10,2733.0
73576,367,2016-10-10,4259.0
2654,14,2016-10-10,2547.0
40210,201,2016-10-10,2918.0
65536,327,2016-10-10,2439.0
20311,102,2016-10-10,3872.0
18734,94,2016-10-10,1132.0
1448,8,2016-10-10,4153.0
28753,144,2016-10-10,2237.0
39607,198,2016-10-10,1645.0
70762,353,2016-10-10,2198.0
14513,73,2016-10-10,3740.0
242,2,2016-10-10,2065.0
33175,166,2016-10-10,1785.0
4664,24,2016-10-10,3637.0
10694,54,2016-10-10,2680.0
67345,336,2016-10-10,1226.0
23728,119,2016-10-10,3025.0
26140,131,2016-10-10,3317.0
35185,176,2016-10-10,1790.0
30562,153,2016-10-10,1177.0
43024,215,2016-10-10,3896.0
19306,97,2016-10-10,1304.0
33376,167,2016-10-10,688.0
39205,196,2016-10-10,4653.0
12302,62,2016-10-10,4691.0
69556,347,2016-10-10,5152.0
36793,184,2016-10-10,2771.0
79606,397,2016-10-10,1786.0
6473,33,2016-10-10,1594.0
49054,245,2016-10-10,2425.0
443,3,2016-10-10,3230.0
62320,311,2016-10-10,1863.0
22321,112,2016-10-10,3662.0
60109,300,2016-10-10,1538.0
56491,282,2016-10-10,4898.0
56692,283,2016-10-10,3939.0
53677,268,2016-10-10,3932.0
80008,399,2016-10-10,3678.0
59305,296,2016-10-10,4167.0
19708,99,2016-10-10,2553.0
13508,68,2016-10-10,1667.0
38200,191,2016-10-10,1368.0
6071,31,2016-10-10,1960.0
16925,85,2016-10-10,2456.0
39004,195,2016-10-10,1730.0
69958,349,2016-10-10,2076.0
32974,165,2016-10-10,1892.0
60511,302,2016-10-10,2048.0
17729,89,2016-10-10,2311.0
81415,406,2016-10-10,2369.0
35386,177,2016-10-10,1143.0
65737,328,2016-10-10,1583.0
32572,163,2016-10-10,1871.0
47446,237,2016-10-10,731.0
18935,95,2016-10-10,2125.0
52270,261,2016-10-10,1851.0
53074,265,2016-10-10,1904.0
28150,141,2016-10-10,1961.0
68752,343,2016-10-10,3341.0
54883,274,2016-10-10,1940.0
81214,405,2016-10-10,3375.0
15518,78,2016-10-10,5928.0
43627,218,2016-10-10,2598.0
16523,83,2016-10-10,1773.0
49657,248,2016-10-10,1556.0
7679,39,2016-10-10,1613.0
12101,61,2016-10-10,3015.0
71767,358,2016-10-10,3440.0
40009,200,2016-10-10,947.0
80209,400,2016-10-10,1848.0
5267,27,2016-10-10,3596.0
24532,123,2016-10-10,2103.0
72571,362,2016-10-10,4433.0
64933,324,2016-10-10,2861.0
72772,363,2016-10-10,1360.0
13307,67,2016-10-10,2897.0
78601,392,2016-10-10,3538.0
69757,348,2016-10-10,3688.0
75385,376,2016-10-10,1273.0
845,5,2016-10-10,2232.0
67546,337,2016-10-10,1176.0
78802,393,2016-10-10,3221.0
4262,22,2016-10-10,3328.0
70159,350,2016-10-10,1934.0
33979,170,2016-10-10,1766.0
37396,187,2016-10-10,1084.0
65134,325,2016-10-10,3104.0
42220,211,2016-10-10,1395.0
61717,308,2016-10-10,1793.0
43225,216,2016-10-10,2481.0
7277,37,2016-10-10,5062.0
17930,90,2016-10-10,1875.0
47245,236,2016-10-10,1638.0
70963,354,2016-10-10,1380.0
16724,84,2016-10-10,2193.0
44833,224,2016-10-10,1291.0
3458,18,2016-10-10,2130.0
3056,16,2016-10-10,3872.0
62119,310,2016-10-10,1023.0
3257,17,2016-10-10,3839.0
19909,100,2016-10-10,4341.0
8282,42,2016-10-10,4613.0
10292,52,2016-10-10,3309.0
15116,76,2016-10-10,2174.0
52471,262,2016-10-10,1568.0
51466,257,2016-10-10,3676.0
34582,173,2016-10-10,1661.0
26944,135,2016-10-10,3318.0
57898,289,2016-10-10,2814.0
79003,394,2016-10-10,2451.0
1649,9,2016-10-10,2458.0
55084,275,2016-10-10,3332.0
76792,383,2016-10-10,5815.0
27346,137,2016-10-10,2399.0
38602,193,2016-10-10,3129.0
7478,38,2016-10-10,1583.0
15719,79,2016-10-10,3633.0
13910,70,2016-10-10,1442.0
53878,269,2016-10-10,2454.0
63928,319,2016-10-10,815.0
66340,331,2016-10-10,2040.0
41416,207,2016-10-10,3046.0
47647,238,2016-10-10,2855.0
12905,65,2016-10-10,4052.0
4463,23,2016-10-10,2048.0
27145,136,2016-10-10,4099.0
71968,359,2016-10-10,5750.0
2051,11,2016-10-10,2804.0
4061,21,2016-10-10,2191.0
25135,126,2016-10-10,2638.0
46240,231,2016-10-10,3501.0
25939,130,2016-10-10,2757.0
52873,264,2016-10-10,2381.0
10091,51,2016-10-10,2402.0
7076,36,2016-10-10,2186.0
43828,219,2016-10-10,2778.0
72370,361,2016-10-10,2684.0
13709,69,2016-10-10,3254.0
47848,239,2016-10-10,2318.0
75988,379,2016-10-10,2187.0
75787,378,2016-10-10,1578.0
63526,317,2016-10-10,1077.0
68551,342,2016-10-10,3337.0
76591,382,2016-10-10,3127.0
62521,312,2016-10-10,2001.0
5468,28,2016-10-10,1729.0
56290,281,2016-10-10,1778.0
45436,227,2016-10-10,1714.0
33577,168,2016-10-10,2111.0
47044,235,2016-10-10,3637.0
9287,47,2016-10-10,1761.0
79405,396,2016-10-10,1692.0
50461,252,2016-10-10,4714.0
58501,292,2016-10-10,7500.0
36190,181,2016-10-10,2242.0
6272,32,2016-10-10,3443.0
8684,44,2016-10-10,3705.0
3659,19,2016-10-10,2825.0
19507,98,2016-10-10,1820.0
2453,13,2016-10-10,3541.0
73978,369,2016-10-10,1371.0
20713,104,2016-10-10,2464.0
23326,117,2016-10-10,3987.0
43426,217,2016-10-10,3055.0
58702,293,2016-10-10,1390.0
31165,156,2016-10-10,1849.0
55285,276,2016-10-10,3932.0
44029,220,2016-10-10,1131.0
32170,161,2016-10-10,3282.0
70360,351,2016-10-10,2974.0
60310,301,2016-10-10,1506.0
66139,330,2016-10-10,1527.0
58300,291,2016-10-10,1807.0
37999,190,2016-10-10,2296.0
57295,286,2016-10-10,2103.0
11900,60,2016-10-10,3727.0
29557,148,2016-10-10,2829.0
41617,208,2016-10-10,2607.0
53476,267,2016-10-10,1777.0
38803,194,2016-10-10,2984.0
50662,253,2016-10-10,1205.0
1248,7,2016-10-17,1365.0
80612,402,2016-10-17,1611.0
5268,27,2016-10-17,3425.0
14313,72,2016-10-17,5049.0
51869,259,2016-10-17,1028.0
67346,336,2016-10-17,1121.0
29156,146,2016-10-17,2898.0
43829,219,2016-10-17,2544.0
24332,122,2016-10-17,1997.0
19910,100,2016-10-17,4273.0
28553,143,2016-10-17,1529.0
65738,328,2016-10-17,1649.0
62522,312,2016-10-17,1845.0
8082,41,2016-10-17,3340.0
23528,118,2016-10-17,2807.0
58100,290,2016-10-17,1961.0
32573,163,2016-10-17,1886.0
6876,35,2016-10-17,2092.0
8484,43,2016-10-17,2579.0
48854,244,2016-10-17,1480.0
47045,235,2016-10-17,3414.0
54482,272,2016-10-17,5714.0
46442,232,2016-10-17,2498.0
67949,339,2016-10-17,2053.0
50462,252,2016-10-17,4308.0
9489,48,2016-10-17,4788.0
42422,212,2016-10-17,2867.0
20111,101,2016-10-17,1897.0
76190,380,2016-10-17,2526.0
65135,325,2016-10-17,2686.0
23327,117,2016-10-17,4083.0
30362,152,2016-10-17,1128.0
62321,311,2016-10-17,1873.0
32975,165,2016-10-17,1554.0
44432,222,2016-10-17,1696.0
25538,128,2016-10-17,2270.0
55085,275,2016-10-17,3175.0
49457,247,2016-10-17,967.0
23930,120,2016-10-17,2699.0
38603,193,2016-10-17,2694.0
37799,189,2016-10-17,1616.0
3459,18,2016-10-17,1934.0
46643,233,2016-10-17,1718.0
63929,319,2016-10-17,883.0
27146,136,2016-10-17,3449.0
16122,81,2016-10-17,1502.0
58703,293,2016-10-17,1365.0
69758,348,2016-10-17,3398.0
8685,44,2016-10-17,3331.0
30563,153,2016-10-17,944.0
66944,334,2016-10-17,2937.0
55688,278,2016-10-17,2440.0
79607,397,2016-10-17,1751.0
61517,307,2016-10-17,741.0
36995,185,2016-10-17,3183.0
21719,109,2016-10-17,2152.0
52472,262,2016-10-17,1568.0
4464,23,2016-10-17,1959.0
32171,161,2016-10-17,3402.0
53477,267,2016-10-17,1776.0
62924,314,2016-10-17,2259.0
75386,376,2016-10-17,1206.0
12906,65,2016-10-17,3619.0
58301,291,2016-10-17,1749.0
81215,405,2016-10-17,3363.0
19307,97,2016-10-17,1236.0
59708,298,2016-10-17,1200.0
30764,154,2016-10-17,1209.0
61316,306,2016-10-17,2066.0
28754,144,2016-10-17,2114.0
69155,345,2016-10-17,3153.0
79406,396,2016-10-17,1546.0
48251,241,2016-10-17,1878.0
50864,254,2016-10-17,4008.0
35789,179,2016-10-17,1572.0
3660,19,2016-10-17,2653.0
55286,276,2016-10-17,3468.0
55487,277,2016-10-17,2960.0
74984,374,2016-10-17,3250.0
3258,17,2016-10-17,3262.0
7479,38,2016-10-17,1416.0
60914,304,2016-10-17,3209.0
52673,263,2016-10-17,2789.0
15720,79,2016-10-17,3390.0
14715,74,2016-10-17,2880.0
71969,359,2016-10-17,5249.0
24533,123,2016-10-17,1796.0
58904,294,2016-10-17,1507.0
45437,227,2016-10-17,1465.0
47849,239,2016-10-17,2157.0
76592,382,2016-10-17,2854.0
77195,385,2016-10-17,1664.0
1851,10,2016-10-17,1233.0
54683,273,2016-10-17,3592.0
2052,11,2016-10-17,2492.0
11298,57,2016-10-17,4076.0
78602,392,2016-10-17,3339.0
80411,401,2016-10-17,2510.0
10293,52,2016-10-17,2967.0
50663,253,2016-10-17,1241.0
67145,335,2016-10-17,1381.0
26945,135,2016-10-17,2951.0
5670,29,2016-10-17,2357.0
27347,137,2016-10-17,2284.0
74180,370,2016-10-17,1347.0
59105,295,2016-10-17,1229.0
67748,338,2016-10-17,2736.0
7680,39,2016-10-17,1632.0
36794,184,2016-10-17,2471.0
444,3,2016-10-17,2820.0
70562,352,2016-10-17,1830.0
42221,211,2016-10-17,1123.0
27548,138,2016-10-17,2459.0
64130,320,2016-10-17,833.0
43226,216,2016-10-17,2182.0
1449,8,2016-10-17,3762.0
33176,166,2016-10-17,1826.0
45638,228,2016-10-17,1497.0
19137,96,2016-10-17,1296.0
72773,363,2016-10-17,1298.0
65336,326,2016-10-17,1466.0
17931,90,2016-10-17,1811.0
13308,67,2016-10-17,2406.0
64733,323,2016-10-17,2853.0
10494,53,2016-10-17,2135.0
26744,134,2016-10-17,1237.0
43628,218,2016-10-17,2209.0
32372,162,2016-10-17,1653.0
52070,260,2016-10-17,4077.0
54884,274,2016-10-17,1656.0
25337,127,2016-10-17,1390.0
16524,83,2016-10-17,1714.0
71768,358,2016-10-17,3488.0
12102,61,2016-10-17,2792.0
21317,107,2016-10-17,2708.0
33779,169,2016-10-17,1465.0
73376,366,2016-10-17,806.0
22724,114,2016-10-17,1668.0
78401,391,2016-10-17,3593.0
2655,14,2016-10-17,2225.0
4866,25,2016-10-17,2026.0
6072,31,2016-10-17,1738.0
6675,34,2016-10-17,2046.0
71567,357,2016-10-17,2567.0
42020,210,2016-10-17,3900.0
13509,68,2016-10-17,1472.0
67547,337,2016-10-17,1190.0
77999,389,2016-10-17,3097.0
61919,309,2016-10-17,1208.0
8886,45,2016-10-17,2756.0
59306,296,2016-10-17,3844.0
50261,251,2016-10-17,3459.0
17529,88,2016-10-17,1562.0
57095,285,2016-10-17,2252.0
44030,220,2016-10-17,1110.0
77396,386,2016-10-17,1126.0
243,2,2016-10-17,1961.0
14514,73,2016-10-17,3790.0
35186,176,2016-10-17,1641.0
29759,149,2016-10-17,2247.0
18132,91,2016-10-17,895.0
70160,350,2016-10-17,2015.0
45035,225,2016-10-17,1108.0
17730,89,2016-10-17,2207.0
75788,378,2016-10-17,1614.0
41819,209,2016-10-17,3943.0
71165,355,2016-10-17,2717.0
49859,249,2016-10-17,2116.0
13107,66,2016-10-17,2388.0
38201,191,2016-10-17,1285.0
72572,362,2016-10-17,3959.0
18735,94,2016-10-17,1133.0
24734,124,2016-10-17,1252.0
82019,409,2016-10-17,2155.0
9087,46,2016-10-17,1763.0
48452,242,2016-10-17,1849.0
68753,343,2016-10-17,2879.0
53075,265,2016-10-17,2010.0
31568,158,2016-10-17,1093.0
37598,188,2016-10-17,2210.0
79004,394,2016-10-17,2406.0
16323,82,2016-10-17,2042.0
17127,86,2016-10-17,1791.0
68954,344,2016-10-17,1019.0
35387,177,2016-10-17,1184.0
39608,198,2016-10-17,1604.0
18936,95,2016-10-17,1913.0
63527,317,2016-10-17,1002.0
75185,375,2016-10-17,734.0
44834,224,2016-10-17,991.0
74783,373,2016-10-17,744.0
11097,56,2016-10-17,3323.0
31367,157,2016-10-17,868.0
66341,331,2016-10-17,2063.0
64331,321,2016-10-17,2096.0
63125,315,2016-10-17,1187.0
